Tweet,Actual label,Predicted label
I'm so behind on my YouTube subscriptions...,0,0
"@pixieparasol well, trains go to newark north gate, looking on googlemaps thats the closest to the site.last train leaves at 23.14pm",1,1
"@trent_reznor Have fun ;P PLAY SOME MORE UK SHOWS, I can't make either of them",0,0
watching scrubs  i love it ^^,1,1
@cocotteloup Awww... It works ok for me.. but I have an apple laptop so it might be a little difference!!,0,1
"spent the whole day at the hospital doing endoscopy and was diagnosed with stomach ulcers, again",0,0
http://twitpic.com/4yi4t - Still breezy out. She loves it. Me 2,1,0
"@JoelGuelph I have more than one bike, but one's on loan, and the other has a broken axle  Maybe a third is necessary?!",0,0
I wanna see year one tonight,0,1
Damn the club ain't shit wit out the frat boyS  damn i can't wait to back to da burg,0,0
There's so many spammers on Twitter,0,0
i think tweeting from my phone really cool,1,1
"I've got so many games to trade, but don't know what to get instead",0,0
"Woke up super late, i go in at 12 i'm so rushed! Finna work all day! [ily] m&amp;m's sorry that ur kinda sick",0,0
@rocketman528 thanks,1,1
@blissneso Greatest combo on earth mate,1,1
@FrankieTheSats you going to see Take That then ?,1,1
@einmaleins Warm weather makes everything slower!,1,1
Morning world.... raining.,0,0
"@_everaldo Ahhh, thanks - lots of good inspiration there  You don't see many orange sites pull it off that well.",1,1
@Runefox Day off ?! I had to drag my weary bones into work as usual. Wish I was still in bed,0,0
"@ItsNeet wow, wait2 let me find some example  i really really bad bout anything related to size! hehe",1,1
Feeling blah today...,0,0
@tianamayumi i feel you on that. ill be at school until noon and its a day i cant miss or ill get dropped. fuck! i want to go!,0,0
@beckaymc  no problem!  your welcome.,1,1
@DonnieWahlberg ah man that sucks you cant do the aussie tour.,0,0
i'm still learning how to use twitter..,1,0
Work today!,0,1
Another Cracking Day N A Stuck In This Shity College  Only Gd News Is Scotrail Actually Got Me Here Today Lol,0,0
http://twitpic.com/5esg1 - thank you guys!!  these are still unedited but yay!,1,1
"... Work but first, sleep!",1,1
Still gutted over NKOTB not coming to Australia...,0,0
Just grabbed some bagels from Panera for everyone at wk. It's Brittany's last day,0,0
@mikemearls my local store has nothing  just magic the gathering.,0,1
Listening to the spice girls about to go watch up! hehe,1,1
loves Riley Leblanc! i've 'got' regionals now!   sunburn death!,1,0
72 more hours to the exam questions appear in front of me.  Hope that the examiner decided to have a good year this time round.,0,0
I'm rambling so it seems....,0,0
@RickWDavies It's Monday.  Looking forward to it.,1,1
@jennaq right?! hella mean how u gonna shoot me and not give me a lollipop,0,0
wat a stressful week i jus hope everything falls into place 4me,0,0
just lost his tail,0,0
LUV IT  @B828: rb'n@Rella: @unfinishedperson: @b_s_lynn thanks for props/replies to @djLop @DJFrankie @Rella ... Ã¢â¢Â« http://blip.fm/~7gymu,1,1
Kuya I miss you,0,0
I just Tylenol'd myself up... Man I hope I can fall asleep now,0,0
http://tinyurl.com/dcy4fa &lt;-- just got that dress for my brothers wedding hehe,1,1
My ceiling has been known to leak right above my bed during storms. Hopefully it's been fixed properly so I stay dry!!,1,0
my hair hasn't gotten any lighter so I'll just live with it ;) nighty night or goodmorning or good afternoon depending on where you are,1,1
hello had twitter for ages but doesnt know what to do on it?,1,0
@andyjiang Haha that is cool. Oh it looks like it's just fake money with Trendio though,0,1
am really tired but cant go back to sleep,0,0
"@dbarefoot must learn lingo if want to be better blogger.  So, will keep you posted (no pun intended).",1,1
finally finished hair and make up,1,1
@MODELCHiCK2  why man,0,0
@mrssweetness2u Today,1,1
@kurtmaddox You are soooo sweet! Kentucky is not far to travel  How was the Derby? I can't believe I am typing. Hard time seeing LOL,1,0
@HollyEgg hope your day only gets better!,1,1
@kentgarrison omg omg where  x,1,1
"http://bit.ly/uw4Vq  @darkmorning, second paragraph",1,1
@missdmaree  Your so sweet. Its pretty rad I won't lie. Are you seeing someone? Also how old are you?,1,1
Finally going to start painting my rooms tonight and get things set for my registration at the Art Institute tomorrow,1,1
Kev threw up in the middle of the night. I got lil sleep. And we smell,0,0
Now Playing: Long Distance by Brandy,0,1
had the BEST weekend!  LoVe my family and boyfriend! ..And now the boyfriend is gettin a new car!  I know who's drivin everywhere now! ;D,1,1
what a weird and busy day. and i sound like a frog    my old voice has returned.,0,0
@thick5150 wish yall could have got in...  im goin back to bed. im DEHYDRATED lol,0,0
goin to bed early... bored out my mind,0,0
Wow. Kids are really fucking stupid sometimes. That poor puppy.  http://bit.ly/6mYS3,0,1
@gabeevictoriaxo awh  ILY! &lt;333,0,1
